event_ts,event_type,side,x,y,z
2026-04-28 12:13:07+00,damage,attacker,1176,-476,-416
2026-04-28 12:13:07+00,kill,attacker,1176,-476,-416
2026-04-28 12:13:09+00,damage,victim,1146,-462,-416
2026-04-28 12:13:16+00,damage,victim,1148,-304,-416
2026-04-28 12:13:17+00,damage,victim,1148,-304,-416
2026-04-28 12:13:17+00,kill,victim,1148,-304,-416
2026-04-28 12:13:37+00,damage,victim,1612,-1225,-416
2026-04-28 12:13:38+00,damage,victim,1620,-1212,-416
2026-04-28 12:13:38+00,damage,attacker,1612,-1192,-416
2026-04-28 12:13:38+00,damage,attacker,1620,-1217,-416
2026-04-28 12:13:39+00,damage,attacker,1550,-1244,-416
2026-04-28 12:13:39+00,kill,attacker,1550,-1244,-416
2026-04-28 12:13:54+00,damage,victim,1830,-1695,-416
2026-04-28 12:13:54+00,damage,attacker,1830,-1695,-416
2026-04-28 12:13:54+00,damage,victim,1830,-1695,-416
2026-04-28 12:14:03+00,damage,victim,1490,-1898,-415
2026-04-28 12:14:03+00,damage,attacker,1490,-1898,-415
2026-04-28 12:14:05+00,kill,attacker,1490,-1898,-415
2026-04-28 12:14:05+00,damage,victim,1488,-1899,-415
2026-04-28 12:14:05+00,damage,victim,1488,-1899,-415
2026-04-28 12:14:05+00,damage,attacker,1490,-1898,-415
2026-04-28 12:14:05+00,damage,attacker,1490,-1898,-415
2026-04-28 12:14:06+00,damage,victim,1488,-1899,-415
2026-04-28 12:14:06+00,kill,victim,1488,-1899,-415
2026-04-28 12:14:22+00,damage,victim,1974,-2193,-416
2026-04-28 12:14:23+00,damage,victim,1974,-2193,-416
2026-04-28 12:14:23+00,damage,victim,1974,-2193,-416
2026-04-28 12:14:23+00,damage,victim,1974,-2193,-416
2026-04-28 12:14:24+00,damage,attacker,1974,-2193,-416
2026-04-28 12:14:31+00,damage,attacker,1397,-1886,-416
2026-04-28 12:14:31+00,kill,attacker,1397,-1886,-416
2026-04-28 12:14:35+00,kill,attacker,1397,-1886,-416
2026-04-28 12:14:35+00,damage,attacker,1397,-1886,-416
2026-04-28 12:15:16+00,damage,attacker,222,-880,-416
2026-04-28 12:15:16+00,damage,attacker,222,-880,-416
2026-04-28 12:15:16+00,damage,attacker,222,-880,-416
2026-04-28 12:15:16+00,damage,victim,222,-880,-416
2026-04-28 12:15:16+00,damage,victim,222,-880,-416
2026-04-28 12:15:17+00,kill,attacker,222,-880,-416
2026-04-28 12:15:17+00,damage,attacker,222,-880,-416
2026-04-28 12:15:17+00,damage,attacker,222,-880,-416
2026-04-28 12:15:20+00,damage,attacker,221,-879,-416
2026-04-28 12:15:22+00,damage,attacker,161,-870,-416
2026-04-28 12:15:24+00,damage,attacker,-76,-696,-416
2026-04-28 12:15:25+00,damage,attacker,-106,-699,-416
2026-04-28 12:15:25+00,damage,attacker,-92,-707,-416
2026-04-28 12:15:25+00,kill,attacker,-106,-699,-416
2026-04-28 12:15:35+00,damage,attacker,-103,-516,-416
2026-04-28 12:15:37+00,damage,victim,-103,-516,-416
2026-04-28 12:15:37+00,damage,attacker,-103,-516,-416
2026-04-28 12:15:37+00,damage,attacker,-103,-516,-416
2026-04-28 12:15:38+00,damage,victim,-103,-516,-416
2026-04-28 12:15:38+00,damage,victim,-103,-516,-416
2026-04-28 12:15:38+00,damage,victim,-103,-516,-416
2026-04-28 12:15:38+00,kill,victim,-103,-516,-416
2026-04-28 12:15:38+00,kill,attacker,-103,-516,-416
2026-04-28 12:15:38+00,damage,attacker,-103,-516,-416
2026-04-28 12:15:38+00,damage,victim,-103,-516,-416
2026-04-28 12:16:04+00,damage,attacker,767,295,-415
2026-04-28 12:16:04+00,damage,victim,767,295,-415
2026-04-28 12:16:04+00,damage,victim,767,295,-415
2026-04-28 12:16:04+00,damage,victim,767,295,-415
2026-04-28 12:16:05+00,damage,attacker,767,295,-415
2026-04-28 12:16:05+00,damage,attacker,767,295,-415
2026-04-28 12:16:05+00,damage,victim,767,295,-415
2026-04-28 12:16:10+00,damage,attacker,1060,33,-416
2026-04-28 12:16:11+00,damage,attacker,1102,8,-416
2026-04-28 12:16:19+00,kill,victim,1079,-512,-416
2026-04-28 12:16:19+00,damage,victim,1079,-512,-416
2026-04-28 12:17:08+00,damage,victim,809,-2092,-416
2026-04-28 12:17:09+00,damage,victim,805,-2088,-416
2026-04-28 12:17:09+00,damage,victim,805,-2088,-416
2026-04-28 12:17:10+00,damage,victim,805,-2088,-416
2026-04-28 12:17:11+00,damage,victim,805,-2088,-416
2026-04-28 12:17:11+00,damage,victim,805,-2088,-416
2026-04-28 12:17:12+00,damage,victim,805,-2088,-416
2026-04-28 12:17:12+00,kill,victim,805,-2088,-416
2026-04-28 12:17:37+00,kill,attacker,1791,-1609,-415
2026-04-28 12:17:37+00,damage,attacker,1791,-1609,-415
